ID,roi_c_min,roi_c_max,roi_r_min,roi_r_max,roi_length
1020003,68,162,16,110,59
1020105,63,152,29,118,56
1020207,73,151,31,109,49
1020234,66,150,36,120,53
1020709,68,152,30,114,53
1020838,72,156,41,125,53
1020916,76,144,49,117,43
1020979,54,143,8,97,56
1021168,68,151,25,108,52
1021256,63,151,25,113,55
1021290,58,148,38,128,57
1021308,71,154,36,119,52
1021359,66,166,18,118,63
1021420,73,146,30,103,46
1021465,59,153,35,129,59
1021642,66,156,26,116,57
1022085,58,154,20,116,61
1022122,73,151,36,114,49
1022163,85,174,56,145,56
1022174,69,154,34,119,54
1022311,63,147,51,135,53
1022356,69,138,49,118,44
1022578,64,149,27,112,54
1022629,67,147,41,121,51
1023019,69,154,18,103,54
1023060,63,162,13,112,62
1023087,74,154,7,87,51
1023093,56,155,14,113,62
1023213,73,151,28,106,49
1023281,49,139,31,121,57
1023365,67,140,28,101,46
1023707,69,157,5,93,55
1023761,66,140,33,107,47
1023783,69,148,28,107,50
1023856,63,136,29,102,46
1023959,68,151,34,117,52
1024057,71,159,22,110,55
1024189,58,157,20,119,62
1024608,69,149,43,123,51
1024677,71,154,21,104,52
1024802,68,156,19,107,55
1024945,71,149,42,120,49
1024991,63,157,33,127,59
1025161,68,143,44,119,48
1025233,56,151,23,118,60
1025731,55,150,24,119,60
1026125,62,140,47,125,49
1026187,74,141,28,95,42
1026282,58,147,28,117,56
1026324,58,169,3,114,70
1026411,66,170,15,119,65
1026670,71,145,30,104,47
1026942,61,145,41,125,53
1027141,60,154,25,119,59
1027159,60,154,26,120,59
1027209,64,159,13,108,60
1027280,71,144,21,94,46
1027421,67,145,30,108,49
1027466,76,144,49,117,43
1027754,66,157,29,120,58
1028229,74,137,36,99,40
1028264,61,145,43,127,53
1028503,65,159,30,124,59
1028616,55,134,36,115,50
1028727,67,152,28,113,54
1028892,73,147,39,113,47
1028925,57,153,34,130,61
1028976,59,144,38,123,54
1028987,61,152,35,126,58
1029034,61,156,21,116,60
1029260,70,144,47,121,47
1029318,63,152,38,127,56
1029321,69,149,27,107,51
1029392,71,159,22,110,55
1029477,70,150,40,120,51
1029675,65,143,32,110,49
1029973,64,158,28,122,59
1030019,64,148,16,100,53
1030889,57,145,37,125,55
1030914,66,154,34,122,55
1030995,69,154,5,90,54
1031201,66,156,30,120,57
1031219,71,154,16,99,52
1031366,67,147,38,118,51
1031477,48,154,10,116,67
1031527,67,156,22,111,56
1031585,68,157,32,121,56
1031711,66,157,22,113,58
1031891,64,152,24,112,55
1031996,71,143,10,82,45
1032004,66,162,15,111,61
1032082,63,152,39,128,56
1032233,63,148,45,130,54
1032292,69,148,27,106,50
1032325,69,148,15,94,50
1032524,67,156,42,131,56
1032612,64,149,29,114,54
1032729,67,146,29,108,50
1032859,62,131,43,112,44
1032990,70,144,55,129,47
1033017,68,151,18,101,52
1033140,71,154,10,93,52
1033330,63,148,12,97,54
1033359,69,138,43,112,44
1033607,69,154,16,101,54
1033949,73,151,34,112,49
1034047,67,152,26,111,54
1034050,75,166,16,107,58
1034176,71,159,16,104,55
1034251,68,152,28,112,53
1034411,66,151,21,106,54
1034517,59,148,36,125,56
1034574,69,153,12,96,53
1034708,79,143,62,126,41
1034942,56,152,37,133,61
1035023,66,157,21,112,58
1035146,68,153,33,118,54
1035215,64,154,33,123,57
1035317,66,146,30,110,51
1035374,67,152,37,122,54
1035643,63,162,7,106,62
1035768,61,160,18,117,62
1035993,63,152,22,111,56
1036039,68,156,9,97,55
1036356,57,152,27,122,60
1036390,68,141,46,119,46
1036448,60,154,26,120,59
1036733,61,144,35,118,52
1036900,74,149,27,102,48
1036938,75,139,37,101,41
1037121,73,151,21,99,49
1037149,66,154,19,107,55
1037353,64,149,30,115,54
1037693,74,147,27,100,46
1037852,77,141,24,88,41
1037869,53,142,30,119,56
1037920,68,156,31,119,55
1037979,63,157,13,107,59
1038057,68,162,9,103,59
1038189,72,151,36,115,50
1038212,71,149,20,98,49
1038294,63,152,19,108,56
1038519,42,157,26,141,72
1038548,65,143,55,133,49
1038554,62,150,29,117,55
1038593,65,150,23,108,54
1038659,69,141,48,120,45
1038677,62,141,30,109,50
1038716,69,154,16,101,54
1038922,65,156,14,105,58
1039097,72,141,33,102,44
1039195,61,141,29,109,51
1039245,71,151,23,103,51
1039405,55,145,22,112,57
1039635,72,140,42,110,43
1039899,63,159,25,121,61
1040004,61,156,25,120,60
1040037,69,149,30,110,51
1040266,63,142,23,102,50
1040569,68,146,21,99,49
1040612,61,167,17,123,67
1040694,62,158,26,122,61
1040750,58,136,31,109,49
1041073,68,143,41,116,48
1041324,63,151,30,118,55
1041338,64,160,47,143,61
1042150,73,152,27,106,50
1042164,67,146,27,106,50
1042188,71,149,24,102,49
1042196,62,142,22,102,51
1042304,66,154,12,100,55
1042320,66,156,36,126,57
1042691,64,148,32,116,53
1042734,73,147,47,121,47
1043006,65,150,26,111,54
1043174,58,154,9,105,61
1043356,63,151,26,114,55
1043507,64,159,22,117,60
1043664,68,146,45,123,49
1043705,68,162,18,112,59
1043882,74,154,49,129,51
1043900,74,146,28,100,45
1043924,64,147,32,115,52
1044034,65,159,21,115,59
1044293,74,149,32,107,48
1044357,71,149,25,103,49
1044430,70,148,52,130,49
1045105,62,157,17,112,60
1045118,66,154,24,112,55
1045415,67,156,5,94,56
1045632,62,156,19,113,59
1045676,63,152,29,118,56
1045763,69,157,31,119,55
1045838,60,140,44,124,51
1045937,68,146,18,96,49
1045965,56,144,16,104,55
1046022,44,148,30,134,65
1046036,68,151,16,99,52
1046362,66,151,24,109,54
1046502,63,167,23,127,65
1046529,69,147,43,121,49
1046564,67,155,40,128,55
1046769,66,154,27,115,55
1046832,64,154,17,107,57
1046992,69,142,51,124,46
1047014,67,146,29,108,50
1047124,68,147,28,107,50
1047288,63,157,24,118,59
1047317,67,158,29,120,58
1047528,68,151,24,107,52
1047637,67,157,22,112,57
1047651,69,152,32,115,52
1047794,66,156,21,111,57
1048000,56,156,43,143,63
1048075,65,156,30,121,58
1048123,61,150,29,118,56
1048274,54,143,26,115,56
1048291,60,160,13,113,63
1048315,73,151,18,96,49
1048364,60,165,18,123,66
1048466,79,143,52,116,41
1048793,82,160,67,145,49
1048953,29,177,4,152,93
1049239,64,154,42,132,57
1049268,68,148,33,113,51
1049294,68,163,23,118,60
1049400,67,163,6,102,61
1049623,61,155,25,119,59
1050136,60,170,14,124,69
1050223,68,156,16,104,55
1050259,64,155,28,119,58
1050419,53,149,39,135,61
1050476,68,152,25,109,53
1050526,66,149,31,114,52
1050718,66,155,34,123,56
1050804,69,148,25,104,50
1050952,74,149,23,98,48
1051135,69,153,22,106,53
1051190,59,154,17,112,60
1051342,64,148,32,116,53
1051532,53,152,27,126,62
1051623,73,153,42,122,51
1051743,65,156,17,108,58
1051847,68,143,44,119,48
1051917,71,138,56,123,42
1052035,57,142,33,118,54
1052192,66,146,20,100,51
1052207,63,151,21,109,55
1052234,58,152,21,115,59
1052255,52,153,30,131,64
1052530,60,164,15,119,65
1052559,68,156,13,101,55
1052632,69,148,43,122,50
1052745,74,148,29,103,47
1052920,68,152,35,119,53
1052965,67,145,38,116,49
1053096,63,143,46,126,51
1053154,71,145,25,99,47
1053160,74,143,40,109,44
1053204,64,149,28,113,54
1053352,71,151,20,100,51
1053403,64,159,19,114,60
1053472,71,151,15,95,51
1053605,70,142,32,104,45
1053684,72,146,35,109,47
1053762,56,146,32,122,57
1053812,63,157,21,115,59
1053999,70,164,35,129,59
1054256,63,152,34,123,56
1054341,66,151,32,117,54
1054547,60,150,35,125,57
1054626,59,149,30,120,57
1054746,92,160,72,140,43
1054775,56,144,54,142,55
1055024,70,145,27,102,48
1055222,68,143,29,104,48
1055236,61,149,26,114,55
1055302,63,153,23,113,57
1055347,69,159,35,125,57
1055466,68,151,25,108,52
1055603,62,153,15,106,58
1055953,71,146,41,116,48
1056048,66,140,40,114,47
1056076,71,144,21,94,46
1056150,65,149,33,117,53
1056351,64,143,50,129,50
1056365,74,159,34,119,54
1056518,61,144,31,114,52
1056710,66,155,22,111,56
1056977,72,146,26,100,47
1057142,68,141,38,111,46
1057205,63,162,15,114,62
1057249,74,149,25,100,48
1057257,69,148,29,108,50
1057332,72,146,33,107,47
1057360,61,151,42,132,57
1057387,71,151,19,99,51
1057671,71,145,32,106,47
1057990,69,143,30,104,47
1058061,67,155,38,126,55
1058201,66,161,16,111,60
1058219,55,145,25,115,57
1058260,64,149,25,110,54
1058495,54,143,26,115,56
1058540,66,156,17,107,57
1058585,67,145,56,134,49
1058697,66,145,39,118,50
1058703,65,161,31,127,61
1058822,66,161,4,99,60
1059113,71,154,17,100,52
1059175,67,156,19,108,56
1059637,67,141,28,102,47
1059665,68,148,34,114,51
1059954,74,141,34,101,42
1060029,69,147,35,113,49
1060237,71,159,15,103,55
1060279,68,151,24,107,52
1060313,67,163,18,114,61
1060324,69,154,21,106,54
1060397,65,156,12,103,58
1060741,60,164,17,121,65
1061030,58,148,40,130,57
1061086,68,146,57,135,49
1061146,50,165,43,158,72
1061288,64,147,23,106,52
1061345,71,154,18,101,52
1061833,63,162,12,111,62
1062000,71,145,11,85,47
1062114,71,151,21,101,51
1062141,66,160,23,117,59
1062236,69,159,46,136,57
1062263,63,157,19,113,59
1062421,67,162,18,113,60
1062579,67,156,14,103,56
1062635,71,151,20,100,51
1063342,69,149,35,115,51
1063355,69,152,16,99,52
1063383,57,152,27,122,60
1063413,68,146,23,101,49
1063548,62,151,14,103,56
1063614,60,156,28,124,61
1063641,78,142,49,113,41
1063695,65,165,13,113,63
1063873,76,139,42,105,40
1063896,67,146,39,118,50
1064093,60,160,14,114,63
1064102,66,149,16,99,52
1064320,65,149,43,127,53
1064379,61,146,29,114,54
1064398,66,156,44,134,57
1064412,61,152,28,119,58
1064468,67,146,21,100,50
1064533,71,146,37,112,48
1064734,65,159,19,113,59
1064835,73,146,52,125,46
1065553,84,168,62,146,53
1065571,63,164,22,123,64
1065646,68,146,25,103,49
1065789,66,157,15,106,58
1065880,74,152,35,113,49
1065996,71,140,26,95,44
1066067,66,157,38,129,58
1066340,61,150,20,109,56
1066371,71,144,22,95,46
1066541,63,159,24,120,61
1066774,59,148,33,122,56
1066875,75,147,50,122,45
1067071,65,150,32,117,54
1067109,67,147,35,115,51
1067158,68,151,36,119,52
1067174,63,146,35,118,52
1067214,56,156,25,125,63
1067262,58,168,12,122,69
1067328,53,158,24,129,66
1067432,69,147,25,103,49
1067460,60,150,35,125,57
1067583,67,152,34,119,54
1067647,73,148,46,121,48
1067721,52,151,33,132,62
1067882,63,167,23,127,65
1067924,62,153,34,125,58
1067975,69,154,23,108,54
1068106,79,153,35,109,47
1068168,65,149,38,122,53
1068203,71,145,9,83,47
1068235,67,152,28,113,54
1068420,77,168,53,144,58
1068607,68,152,24,108,53
1068832,66,146,49,129,51
1068848,62,146,26,110,53
1069037,71,154,13,96,52
1069065,66,156,26,116,57
1069082,66,156,22,112,57
1069142,69,152,18,101,52
1069376,69,152,30,113,52
1069474,57,156,31,130,62
1069575,59,160,16,117,64
1070080,66,146,32,112,51
1070091,69,153,28,112,53
1070171,60,150,42,132,57
1070289,57,148,39,130,58
1070386,68,152,39,123,53
1070465,64,147,12,95,52
1070502,68,148,33,113,51
1070531,66,146,44,124,51
1070746,69,153,42,126,53
1070752,76,144,28,96,43
1070769,67,152,33,118,54
1070854,70,145,24,99,48
1070887,60,160,17,117,63
1070966,71,159,22,110,55
1071162,69,152,30,113,52
1071258,69,144,52,127,48
1071470,56,146,29,119,57
1071644,59,149,41,131,57
1071690,67,146,22,101,50
1071732,56,147,28,119,58
1071793,59,149,23,113,57
1071834,71,144,39,112,46
1072030,53,143,26,116,57
1072062,67,146,29,108,50
1072100,65,138,36,109,46
1072296,69,159,39,129,57
1072442,59,154,19,114,60
1072528,69,157,17,105,55
1072643,58,152,20,114,59
1072712,61,151,28,118,57
1072768,59,159,8,108,63
1072932,60,164,21,125,65
1073120,69,153,33,117,53
1073137,63,141,38,116,49
1073293,69,153,29,113,53
1073321,65,140,39,114,48
1073408,66,154,18,106,55
1073459,58,146,49,137,55
1073600,66,144,46,124,49
1073931,65,155,43,133,57
1073947,61,146,57,142,54
1074303,66,157,16,107,58
1074419,59,148,34,123,56
1074487,74,148,29,103,47
1074493,72,151,58,137,50
1074882,63,147,33,117,53
1074898,64,142,18,96,49
1074913,58,146,29,117,55
1075172,64,159,20,115,60
1075190,65,156,26,117,58
1075206,67,146,46,125,50
1075307,66,151,38,123,54
1075438,68,148,37,117,51
1075716,58,143,35,120,54
1075798,66,160,35,129,59
1075936,61,150,23,112,56
1076126,74,157,36,119,52
1076292,61,136,40,115,48
1076715,65,154,31,120,56
1076967,62,150,46,134,55
1077054,58,146,44,132,55
1077093,73,140,30,97,42
1077129,72,150,28,106,49
1077238,68,162,28,122,59
1077269,68,156,17,105,55
1077811,58,147,23,112,56
1077923,63,159,12,108,61
1078088,58,152,26,120,59
1078265,37,142,35,140,66
1078282,72,156,27,111,53
1078522,60,154,48,142,59
1078907,77,139,28,90,39
1079340,69,143,40,114,47
1079371,66,165,25,124,62
1079385,79,148,34,103,44
1079687,61,160,23,122,62
1079791,73,157,37,121,53
1080232,78,163,58,143,54
1080254,68,151,17,100,52
1080462,56,152,34,130,61
1080756,66,155,27,116,56
1080789,65,156,21,112,58
1080790,69,153,12,96,53
1080880,66,144,41,119,49
1081011,53,157,23,127,65
1081056,61,140,37,116,50
1081133,69,153,25,109,53
1081234,64,152,35,123,55
1081595,61,165,11,115,65
1081824,61,165,19,123,65
1081869,60,143,22,105,52
1082623,69,154,24,109,54
1082831,58,148,26,116,57
1082922,69,137,50,118,43
1082936,65,148,39,122,52
1082991,51,158,13,120,68
1083000,67,156,27,116,56
1083024,72,156,34,118,53
1083315,66,151,29,114,54
1083492,57,145,41,129,55
1083520,60,144,28,112,53
1083603,67,142,47,122,48
1083656,69,143,42,116,47
1083701,68,151,21,104,52
1083732,73,146,32,105,46
1083754,54,149,29,124,60
1083878,66,161,19,114,60
1084037,63,157,18,112,59
1084043,74,149,17,92,48
1084051,66,154,35,123,55
1084612,65,156,27,118,58
1084715,64,154,40,130,57
1084808,63,159,24,120,61
1084928,64,143,31,110,50
1085064,74,143,30,99,44
1085298,73,148,31,106,48
1085517,68,156,17,105,55
1085621,69,159,30,120,57
1085741,68,169,20,121,64
1085885,58,168,14,124,69
1086146,61,155,35,129,59
1086169,66,157,15,106,58
1086273,74,143,44,113,44
1086391,72,139,34,101,42
1086407,69,157,17,105,55
1086461,62,150,28,116,55
1086483,62,153,24,115,58
1086528,48,143,36,131,60
1086637,53,157,24,128,65
1086643,59,154,25,120,60
1086712,71,151,28,108,51
1087022,57,140,20,103,52
1087058,68,159,15,106,58
1087203,61,157,35,131,61
1087362,72,140,30,98,43
1087377,54,148,36,130,59
1087386,63,169,15,121,67
1087416,63,142,36,115,50
1087443,66,160,23,117,59
1087465,65,153,35,123,55
1087610,65,159,25,119,59
1087634,69,153,25,109,53
1087724,71,159,28,116,55
1087984,71,154,18,101,52
1088027,67,140,51,124,46
1088145,63,152,23,112,56
1088303,69,148,25,104,50
1088367,72,156,10,94,53
1088507,66,154,14,102,55
1088804,50,151,35,136,64
1089019,73,147,43,117,47
1089093,69,152,34,117,52
1089316,67,146,25,104,50
1089533,67,152,24,109,54
1089592,66,162,26,122,61
1089799,63,141,46,124,49
1089856,67,156,18,107,56
1089872,63,157,20,114,59
1090280,60,154,24,118,59
1090543,64,149,26,111,54
1090644,70,148,29,107,49
1091019,67,155,-2,86,55
1091093,64,154,27,117,57
1091281,61,144,24,107,52
1091680,59,149,17,107,57
1091835,66,151,39,124,54
1091986,59,149,17,107,57
1092176,65,143,38,116,49
1092216,55,135,37,117,51
1092300,66,149,22,105,52
1092522,69,141,39,111,45
1092795,61,160,4,103,62
1092827,62,150,27,115,55
1092983,58,157,21,120,62
1093003,64,142,32,110,49
1093028,61,151,29,119,57
1093089,53,153,23,123,63
1093306,67,152,33,118,54
1093368,65,155,27,117,57
1093385,64,149,56,141,54
1093514,74,149,25,100,48
1093943,60,143,44,127,52
1094146,65,159,16,110,59
1094317,63,162,18,117,62
1094374,66,162,21,117,61
1094544,63,152,30,119,56
1094987,41,137,34,130,61
1095039,63,151,26,114,55
1095117,63,146,44,127,52
1095241,67,158,20,111,58
1095295,54,142,35,123,55
1095389,79,152,27,100,46
1095476,66,160,26,120,59
1095542,71,151,20,100,51
1095647,58,165,12,119,68
1095688,66,156,20,110,57
1095749,68,156,28,116,55
1095792,63,159,22,118,61
1095837,68,146,34,112,49
1096128,59,154,26,121,60
1096135,78,140,52,114,39
1096190,65,150,33,118,54
1096326,70,148,34,112,49
1096532,68,162,16,110,59
1096695,66,157,32,123,58
1096888,72,141,41,110,44
1097165,70,145,29,104,48
1097198,73,148,44,119,48
1097423,62,158,28,124,61
1097669,61,172,14,125,70
1097728,67,152,30,115,54
1097772,70,145,44,119,48
1097902,70,145,25,100,48
1097973,69,154,14,99,54
1098142,67,141,52,126,47
1098266,63,159,21,117,61
1098445,67,163,17,113,61
1098606,56,150,35,129,59
1098773,53,143,13,103,57
1098788,63,136,26,99,46
1098808,71,149,32,110,49
1098944,69,149,37,117,51
1099017,71,151,27,107,51
1099036,59,154,30,125,60
1099063,66,151,24,109,54
1099106,67,147,32,112,51
1099386,66,135,44,113,44
1099482,70,153,54,137,52
1099642,67,152,36,121,54
1099797,61,155,30,124,59
1099801,62,157,18,113,60
1100010,64,159,16,111,60
1100042,69,152,51,134,52
1100151,70,145,29,104,48
1100349,66,154,32,120,55
1100423,58,147,30,119,56
1100462,72,155,2,85,52
1100495,63,152,36,125,56
1100527,61,140,18,97,50
1100652,72,151,41,120,50
1100915,59,154,26,121,60
1101003,68,142,38,112,47
1101299,69,153,30,114,53
1101508,60,138,33,111,49
1101619,65,150,34,119,54
1101838,66,149,16,99,52
1102049,66,161,15,110,60
1102057,75,144,36,105,44
1102253,67,146,30,109,50
1102326,76,144,29,97,43
1102497,58,173,5,120,72
1102519,62,157,12,107,60
1102587,62,153,21,112,58
1102630,67,147,41,121,51
1102720,71,144,25,98,46
1102896,64,147,31,114,52
1102963,69,157,24,112,55
1103236,62,152,32,122,57
1103470,74,143,33,102,44
1103579,69,157,25,113,55
1103701,63,148,33,118,54
1103787,69,157,22,110,55
1103826,66,162,13,109,61
1103861,74,148,28,102,47
1103927,49,148,29,128,62
1103971,66,156,25,115,57
1103994,66,160,21,115,59
1104126,66,151,25,110,54
1104393,63,151,27,115,55
1104990,74,148,19,93,47
1105096,66,154,22,110,55
1105220,67,150,30,113,52
1105243,67,152,31,116,54
1105444,64,149,32,117,54
1105563,53,143,36,126,57
1105580,54,154,28,128,63
1105605,68,156,22,110,55
1105723,71,154,14,97,52
1105762,68,151,31,114,52
1105894,63,162,23,122,62
1105926,61,162,26,127,64
1105955,56,144,33,121,55
1106014,72,155,38,121,52
1106181,72,139,25,92,42
1106503,63,147,40,124,53
1106698,67,146,36,115,50
1107091,71,151,28,108,51
1107140,61,160,12,111,62
1107185,70,145,12,87,48
1107235,56,152,39,135,61
1107404,62,153,19,110,58
1107678,63,162,21,120,62
1107738,71,149,24,102,49
1108027,62,147,30,115,54
1108145,65,156,31,122,58
1108230,67,162,9,104,60
1108311,63,148,44,129,54
1108599,74,146,38,110,45
1108647,62,157,22,117,60
1108673,66,154,28,116,55
1108816,59,143,24,108,53
1109129,66,151,42,127,54
1109173,72,144,23,95,45
1109658,72,146,36,110,47
1109726,64,147,12,95,52
1109755,71,159,31,119,55
1109799,65,159,17,111,59
1110140,68,151,13,96,52
1110185,71,151,31,111,51
1110272,68,148,41,121,51
1110404,68,156,25,113,55
1110607,80,155,59,134,48
1110700,69,152,6,89,52
1110781,64,149,28,113,54
1110949,61,133,34,106,45
1111069,66,160,24,118,59
1111108,71,156,30,115,54
1111329,72,156,8,92,53
1111492,46,173,27,154,80
1111537,55,154,32,131,62
1111644,67,146,31,110,50
1111939,64,159,18,113,60
1111971,68,147,40,119,50
1112146,68,153,33,118,54
1112407,58,143,32,117,54
1112805,64,148,31,115,53
1112976,68,151,20,103,52
1113182,66,156,25,115,57
1113287,63,148,29,114,54
1113540,58,154,32,128,61
1113585,65,150,25,110,54
1113646,61,144,37,120,52
1113809,61,146,24,109,54
1113915,72,141,35,104,44
1114053,68,152,29,113,53
1114401,53,149,24,120,61
1114419,64,147,32,115,52
1114602,72,135,39,102,40
1114615,69,147,24,102,49
1114770,63,152,20,109,56
1115084,67,152,32,117,54
1115135,63,157,27,121,59
1115206,61,160,13,112,62
1115271,65,145,31,111,51
1115399,71,151,16,96,51
1115469,68,157,52,141,56
1115888,72,146,16,90,47
1116079,73,147,33,107,47
1116107,60,170,9,119,69
1116458,72,140,34,102,43
1116814,68,147,28,107,50
1116877,62,152,29,119,57
1116956,73,151,37,115,49
1117048,62,145,44,127,52
1117060,68,151,26,109,52
1117150,63,157,29,123,59
1117213,64,147,39,122,52
1117281,74,148,29,103,47
1117320,64,148,28,112,53
1117337,61,149,18,106,55
1117427,56,147,49,140,58
1117533,38,165,21,148,80
1117566,69,153,21,105,53
1117889,71,154,25,108,52
1117962,65,160,33,128,60
1117995,69,142,51,124,46
1118015,64,159,14,109,60
1118101,60,154,11,105,59
1118265,60,149,30,119,56
1118300,63,152,34,123,56
1118517,73,151,26,104,49
1118708,74,149,19,94,48
1118871,66,141,33,108,48
1118910,68,152,35,119,53
1118934,70,155,27,112,54
1118942,57,146,23,112,56
1118961,61,161,22,122,63
1119234,62,145,36,119,52
1119261,62,152,30,120,57
1119464,67,152,17,102,54
1119514,65,149,39,123,53
1119648,56,139,29,112,52
1119736,65,150,39,124,54
1119875,55,149,27,121,59
1120053,70,150,20,100,51
1120295,64,155,31,122,58
1120401,56,145,39,128,56
1120487,63,146,34,117,52
1120784,64,142,46,124,49
1120851,69,148,27,106,50
1121206,61,160,23,122,62
1121355,72,151,23,102,50
1121548,57,142,44,129,54
1121737,61,167,13,119,67
1121850,66,151,24,109,54
1121917,67,158,18,109,58
1122035,72,146,21,95,47
1122226,68,152,30,114,53
1122234,66,151,25,110,54
1122340,61,156,31,126,60
1122415,69,153,27,111,53
1122464,61,152,27,118,58
1122763,61,161,18,118,63
1122897,66,154,10,98,55
1123148,74,154,29,109,51
1123403,40,162,24,146,77
1123435,66,155,32,121,56
1123444,61,150,18,107,56
1123942,58,147,33,122,56
1124017,62,153,39,130,58
1124153,63,151,40,128,55
1124386,73,151,16,94,49
1124683,66,146,23,103,51
1124769,60,156,43,139,61
1124966,60,156,28,124,61
1125159,61,152,23,114,58
1125222,66,167,20,121,64
1125302,66,151,25,110,54
1125329,71,145,35,109,47
1125331,68,152,28,112,53
1126019,66,149,11,94,52
1126054,69,152,18,101,52
1126150,82,161,58,137,50
1126213,63,136,38,111,46
1126252,76,144,35,103,43
1126440,59,143,26,110,53
1126468,61,162,11,112,64
1126471,63,148,42,127,54
1126609,69,157,19,107,55
1126726,67,156,14,103,56
1126986,69,154,17,102,54
1127110,65,145,48,128,51
1127205,71,143,37,109,45
1127284,61,162,23,124,64
1127376,64,159,14,109,60
1127474,67,163,29,125,61
1127500,65,134,68,137,44
1127546,70,150,52,132,51
1127694,71,151,34,114,51
1127750,68,162,11,105,59
1127773,74,152,21,99,49
1127903,66,156,26,116,57
1127944,63,162,6,105,62
